544166.000000 4054198.000000 50505.000000
544168.000000 4054198.000000 50462.000000
544170.000000 4054198.000000 50422.000000
544172.000000 4054199.000000 50446.000000
544174.000000 4054199.000000 50504.000000
544176.000000 4054200.000000 50517.000000
544178.000000 4054199.000000 50531.000000
544180.000000 4054198.000000 50533.000000
544181.000000 4054199.000000 50536.000000
544183.000000 4054199.000000 50543.000000
544185.000000 4054199.000000 50543.000000
544187.000000 4054199.000000 50545.000000
544189.000000 4054198.000000 50546.000000
544191.000000 4054198.000000 50545.000000
544193.000000 4054198.000000 50544.000000
544195.000000 4054197.000000 50544.000000
544197.000000 4054197.000000 50547.000000
544199.000000 4054197.000000 50548.000000
544201.000000 4054197.000000 50545.000000
544203.000000 4054196.000000 50547.000000
544205.000000 4054196.000000 50547.000000
544207.000000 4054195.000000 50548.000000
544209.000000 4054194.000000 50551.000000
544211.000000 4054193.000000 50547.000000
544213.000000 4054193.000000 50544.000000
544215.000000 4054192.000000 50545.000000
544217.000000 4054192.000000 50544.000000
544219.000000 4054192.000000 50549.000000
544221.000000 4054192.000000 50546.000000
544224.000000 4054191.000000 50550.000000
544226.000000 4054191.000000 50551.000000
544228.000000 4054190.000000 50548.000000
544230.000000 4054189.000000 50551.000000
544231.000000 4054188.000000 50551.000000
544233.000000 4054187.000000 50550.000000
544235.000000 4054186.000000 50548.000000
544238.000000 4054186.000000 50549.000000
544240.000000 4054185.000000 50548.000000
544242.000000 4054185.000000 50549.000000
544244.000000 4054185.000000 50547.000000
544246.000000 4054185.000000 50554.000000
544248.000000 4054185.000000 50554.000000
544251.000000 4054185.000000 50554.000000
544253.000000 4054184.000000 50554.000000
544255.000000 4054184.000000 50549.000000
544257.000000 4054183.000000 50541.000000
544259.000000 4054182.000000 50550.000000
544261.000000 4054182.000000 50547.000000
544263.000000 4054181.000000 50547.000000
544265.000000 4054181.000000 50550.000000
544268.000000 4054181.000000 50551.000000
544269.000000 4054180.000000 50546.000000
544271.000000 4054179.000000 50548.000000
544274.000000 4054179.000000 50552.000000
544275.000000 4054179.000000 50551.000000
544278.000000 4054178.000000 50550.000000
544280.000000 4054178.000000 50547.000000
544282.000000 4054178.000000 50546.000000
544284.000000 4054177.000000 50553.000000
544286.000000 4054177.000000 50553.000000
544288.000000 4054176.000000 50551.000000
544290.000000 4054176.000000 50555.000000
544292.000000 4054176.000000 50549.000000
544294.000000 4054175.000000 50542.000000
544296.000000 4054174.000000 50539.000000
544298.000000 4054172.000000 50544.000000
544300.000000 4054171.000000 50550.000000
544302.000000 4054170.000000 50547.000000
544304.000000 4054170.000000 50547.000000
544306.000000 4054170.000000 50549.000000
544308.000000 4054169.000000 50544.000000
544310.000000 4054169.000000 50548.000000
544312.000000 4054169.000000 50553.000000
