X,Y
544581.343460218,4051827.09409622
544641.03173608,4051854.2251307
544730.564149873,4051764.69271691
544768.547598149,4051585.62788932
544768.547598149,4051444.54651001
544711.572425735,4051295.32582035
544518.942080908,4051197.65409622
544408.870396605,4051380.30374641
544166.238632632,4051406.56306173
544206.935184356,4051531.36582035
544410.417942976,4051623.6113376
544581.343460218,4051827.09409622
