544417.922653571 4051709.66785671
544486.123287176 4051779.38405996
544555.839490418 4051836.97570611
544646.773668558 4051858.19368101
544699.818605807 4051820.30444012
544811.970758847 4051686.93431218
544846.828860468 4051529.31507007
544821.064176661 4051379.27367614
544734.676707428 4051238.32570002
544611.915566938 4051127.68911661
544437.625058835 4051171.64063605
544326.98847543 4051321.68202998
544079.950624815 4051288.339498
543982.954168131 4051383.82038504
543989.016446674 4051482.33241136
544111.777587164 4051571.75101987
544334.566323609 4051655.10734983
