545115	4055490	19.142369
545153.5	4055491	20.2083345
545202	4055493	21.644386
545255	4055491	23.4114825
545305	4055495	24.966166
545346.5	4055502	26.043343
545610	4055491	38.569284
545659	4055495.5	40.6533985
545710	4055495	43.43737
545760.5	4055492	46.799039
545812	4055495.5	49.088949
545862	4055491	52.887789
545915	4055487	57.143596
545964.5	4055488	60.195567
546014.5	4055491	62.441711
546056	4055495	64.218752
546116	4055500	66.071556
546168	4055499.5	69.296944
546221	4055503	70.637063
546267	4055504	71.22856
546330	4055503.5	71.9449605
546565	4055501	58.11002
546623	4055506	51.344743
546675.5	4055507	46.3730575
546724	4055511	41.7128625
546774.5	4055504	38.784089
546810	4055495	37.206896
545343	4055460.5	28.7327445
545582	4055448	42.599544
545588	4055474	39.638945
545847	4055461	58.380364
545910.5	4055484	57.4935315
546052	4055458	75.723176
546340	4055461	93.679937
546547	4055462.5	72.900328
546548	4055446	79.619878
546806	4055460	41.7648425
545341	4055411.5	32.5156595
545582	4055423	46.4265165
545585	4055405	49.5278095
545846.5	4055411	71.5362925
546039	4055422	88.764982
546341	4055411	136.769072
546547	4055392.5	110.078771
546548	4055415	95.340156
546804	4055411	48.705888
545340	4055361	37.266019
545579	4055360	57.384285
545849	4055362	89.14331
546036	4055360	121.801364
546343	4055360	227.7981115
546547	4055368	129.501795
546550	4055342	153.536641
546799.5	4055363.5	57.3632845
546801	4055351	59.308814
545345	4055310	43.3024815
545580.5	4055309.5	69.3868455
545850	4055307	116.599164
546034	4055308	162.912916
546344	4055322	383.9167475
546345	4055325	366.612781
546552	4055309.5	193.054296
546808	4055308.5	66.142779
545344	4055260	49.7227865
545583	4055276	79.49127
545585	4055251	88.623144
545849.5	4055258.5	150.99059
546034	4055258	222.403034
546347	4055260	1459.201714
546553	4055259	281.337762
546816	4055258	74.685707
545343	4055209	57.588922
545587	4055209	107.012222
545845	4055208	204.341009
546034	4055214	300.722789
546042	4055190	367.101999
546348	4055208	-720.257938
546552	4055207	414.0939875
546819	4055207.5	85.0291185
545345	4055159	67.2636945
545595.5	4055158.5	139.9318875
545844	4055160	290.992194
546051	4055159	487.0568735
546349.5	4055159	-1328.164744
546551	4055158.5	532.0577305
546819	4055158	97.025892
545345	4055108	78.721001
545591	4055109	178.492072
545842.5	4055108.5	474.4637895
546049	4055108	788.291269
546352	4055109	-1229.6928875
546547	4055112	645.197504
546549	4055105	636.796897
546818	4055107.5	110.612046
545343	4055057.5	91.865807
545587	4055058	233.8352905
545841	4055057	965.801039
546037.5	4055046	1784.979387
546043	4055071	1217.943506
546348	4055057	-1106.333781
546550	4055057	668.4940525
546815	4055057.5	127.3428635
545344	4055007	108.583204
545583	4055010	306.492695
545585	4055004	321.0237345
545837	4054989.5	2277.767128
545839	4055014	2312.179388
546035	4055007	2608.602246
546346.5	4055006	-1045.022074
546547	4054985	666.741034
546548	4055011	670.4361615
546810	4055007	149.608466
545340	4054956	125.455977
545589	4054957	446.4459315
545837	4054978	513.002953
545839	4054953	-732.808647
546036	4054956	-540.800769
546347	4054956.5	-1027.6710495
546547	4054960	658.474139
